"cancer" "mutation" "mu0" "mu1" "mu"
"BRCA" "CTA_C" -18.6219897396196 1.02304551353746 -15.0578973731936
"BRCA" "CTA_G" -18.9841404621762 0.778663311629594 -16.3989453029935
"BRCA" "CTC_A" -18.9285294805825 0.91788523640422 -15.7950213852761
"BRCA" "CTC_C" -18.5430596894236 0.917334623800176 -15.4117690094857
"BRCA" "CTC_G" -18.6496422197164 0.755829193392476 -16.1519988583469
"BRCA" "CTG_A" -18.5158653786426 0.801531922818643 -15.8423118019636
"BRCA" "CTG_C" -18.7629445289084 0.960508123736156 -15.4566125013647
"BRCA" "CTG_G" -18.8561922583769 0.827700196830735 -16.0807061309267
"BRCA" "CTT_A" -18.9506390796446 0.953760786258011 -15.6718199612815
"BRCA" "CTT_C" -18.4971616624801 0.924132454196421 -15.3384677961685
"BRCA" "CTT_G" -18.3409231976778 0.814200805350852 -15.6181307778916
"BRCA" "GCA_A" -17.2872074665046 0.719405213154684 -14.9278281115742
"BRCA" "GCA_G" -19.070927844678 0.993067527162787 -15.6310167142753
"BRCA" "GCA_T" -17.3279023583268 0.852566745040418 -14.4547395254706
"BRCA" "GCC_A" -17.670475603707 0.783676167352201 -15.0659694727485
"BRCA" "GCC_G" -18.7080259507371 0.929296115130632 -15.5284770882061
"BRCA" "GCC_T" -17.2387528884209 0.839149572985608 -14.4183917254934
"BRCA" "GCG_A" -16.9105086757139 0.615023600706528 -14.9377923946341
"BRCA" "GCG_G" -18.8478485609526 0.952005505184515 -15.5761772573282
"BRCA" "GCG_T" -13.9562432852408 0.535627314589967 -12.2680296645661
"BRCA" "GCT_A" -17.9172732434547 0.798453583025934 -15.2556527573444
"BRCA" "GCT_G" -18.7936038498029 0.99963441760019 -15.3265876932351
"BRCA" "GCT_T" -17.5586937863468 0.858132612127015 -14.6635594314219
"BRCA" "GTA_A" -19.2788247158436 0.989422736467243 -15.8539338851671
"BRCA" "GTA_C" -17.9938270572086 0.987220219733674 -14.5780046740135
"BRCA" "GTA_G" -19.1221625749658 0.863890623712014 -16.2042564308089
"BRCA" "GTC_A" -18.6634534999753 0.911745804088016 -15.5546480887466
"BRCA" "GTC_C" -18.1560227914334 0.904332668885106 -15.0769807892773
"BRCA" "GTC_G" -19.4568402109796 0.958504663926092 -16.158683536903
"BRCA" "GTG_A" -18.5305088938253 0.762750821159017 -16.006397252912
"BRCA" "GTG_C" -18.767776534413 0.985522704543354 -15.35893913747
"BRCA" "GTG_G" -18.5887339526107 0.804517373691618 -15.9035957205111
"BRCA" "GTT_A" -18.2911951606974 0.787918438099732 -15.6703215358952
"BRCA" "GTT_C" -17.4677790163108 0.824100433852265 -14.7063671396028
"BRCA" "GTT_G" -18.4370405520213 0.742256306852231 -15.9911200932391
"BRCA" "TCA_A" -18.8681021937669 1.26799409764307 -14.2467042707632
"BRCA" "TCA_G" -18.833321396272 1.52192205113834 -13.0369535889092
"BRCA" "TCA_T" -17.9189436580722 1.4538293120686 -12.4453701590436
"BRCA" "TCC_A" -18.0412435513207 1.03985224629769 -14.4070310610641
"BRCA" "TCC_G" -19.1475776598498 1.39218526043054 -13.9613921692592
"BRCA" "TCC_T" -17.4628893494403 1.12937185625804 -13.4491519013448
"BRCA" "TCG_A" -16.7348665404528 0.743763950935193 -14.2832125874351
"BRCA" "TCG_G" -18.6309774324046 1.30363601552304 -13.8494475611108
"BRCA" "TCG_T" -14.9795788212322 0.92217294804236 -11.8287901019576
"BRCA" "TCT_A" -17.8879199525087 0.995334587521794 -14.4386576669959
"BRCA" "TCT_G" -18.7254051065828 1.52949341491115 -12.8928027162848
"BRCA" "TCT_T" -18.2096596019477 1.36367314075311 -13.1548266135495
"BRCA" "TTA_A" -18.5354287723089 0.844229268359905 -15.6951042554694
"BRCA" "TTA_C" -18.2536025436235 0.923066217261362 -15.0992107566214
"BRCA" "TTA_G" -18.1785965826857 0.715657061021581 -15.8333475063934
"BRCA" "TTC_A" -18.4182153925206 0.694319969751756 -16.1530580259716
"BRCA" "TTC_C" -18.4708249473408 0.909540049017041 -15.3708828811739
"BRCA" "TTC_G" -18.7647575265967 0.779246984213138 -16.1773152862432
"BRCA" "TTG_A" -18.6459237513292 0.773080052215982 -16.082198137231
"BRCA" "TTG_C" -18.7458077151621 0.898334443277071 -15.6907969325035
"BRCA" "TTG_G" -19.1435650173386 0.883674554560641 -16.1470938718561
"BRCA" "TTT_A" -19.2716643546981 0.902886872895784 -16.1984189777162
"BRCA" "TTT_C" -18.0395777604396 0.742222019010353 -15.5937876623797
"BRCA" "TTT_G" -18.6329789431572 0.817622472139879 -15.8968524927527
"CESC" "ACA_A" -16.4588813058236 0.418942832464318 -14.6608445879369
"CESC" "ACA_G" -19.2409697712268 0.987353953390819 -14.8199092825665
"CESC" "ACA_T" -17.3653508337099 0.811657855619668 -13.778496352376
"CESC" "ACC_A" -16.4342296705121 0.444039666655143 -14.5249320209836
"CESC" "ACC_G" -16.6223247857868 0.327218309002863 -15.2274689418933
"CESC" "ACC_T" -17.6657297208288 0.8232710345844 -14.0243929623486
"CESC" "ACG_A" -15.3824278178045 0.203071407055004 -14.5247175380333
"CESC" "ACG_G" -18.4011236265211 0.903867399026179 -14.3791182332511
"CESC" "ACG_T" -13.8672257000805 0.656181355613989 -11.0009156007821
"CESC" "ACT_A" -17.1126052957889 0.531097691679622 -14.8141706794563
"CESC" "ACT_G" -17.2618357548854 0.57233035626644 -14.7773567063336
"CESC" "ACT_T" -16.7842054823661 0.613398913645611 -14.1133002992999
"CESC" "ATA_A" -19.4230717615511 0.737784706843736 -16.1806260556164
"CESC" "ATA_C" -16.796181946336 0.631284355383635 -14.0437358851553
"CESC" "ATA_G" -16.7868788155208 0.22562307625427 -15.8323193613482
"CESC" "ATC_A" -18.4773062858309 0.744125692945339 -15.2054439564155
"CESC" "ATC_C" -15.7500260660511 0.269365087770052 -14.6066989421792
"CESC" "ATC_G" -18.5223748435601 0.472507051680911 -16.4863778018775
"CESC" "ATG_A" -19.3169968874293 0.772505736500373 -15.9131403362774
"CESC" "ATG_C" -17.8945074473016 0.736157395592595 -14.6596066301904
"CESC" "ATG_G" -18.2902680665234 0.489398244637755 -16.1788435020104
"CESC" "ATT_A" -19.5691310134028 0.884899034078651 -15.6371191668053
"CESC" "ATT_C" -15.8131462033256 0.341154684799495 -14.357380192353
"CESC" "ATT_G" -16.328137634379 0.141685893877007 -15.7324293466096
"CESC" "CCA_A" -17.1860750336313 0.596703973795906 -14.5910902325233
"CESC" "CCA_G" -18.4833221639316 0.787018361129077 -15.0117556261556
"CESC" "CCA_T" -17.2100048073432 0.794136487219783 -13.7051753426124
"CESC" "CCC_A" -17.4052456433565 0.626945685307385 -14.6725995289165
"CESC" "CCC_G" -17.705762967059 0.577693488072226 -15.1970023129057
"CESC" "CCC_T" -16.7649888863184 0.670635286457118 -13.8323839424674
"CESC" "CCG_A" -16.672754712355 0.598580753959779 -14.0692445151563
"CESC" "CCG_G" -18.1191049293296 0.743594780042885 -14.8497066204555
"CESC" "CCG_T" -14.2098239122178 0.637156443394517 -11.4305599098035
"CESC" "CCT_A" -19.5702263994136 1.16014035761744 -14.3078876981275
"CESC" "CCT_G" -18.7625421051968 0.905688170877882 -14.7318851563215
"CESC" "CCT_T" -16.0891006218825 0.54754634448483 -13.716583498578
"CESC" "CTA_A" -16.12198903236 0.15790579132075 -15.4572820462994
"CESC" "CTA_C" -18.2357804984361 0.764724483891749 -14.8681688400963
"CESC" "CTA_G" -21.3019354449867 1.03149614640542 -16.6679263925232
"CESC" "CTC_A" -16.8897092602888 0.330754324914579 -15.4794107008002
"CESC" "CTC_C" -17.05703666821 0.437181846056095 -15.1781821604884
"CESC" "CTC_G" -19.476357540311 0.677002037121988 -16.5145060058874
"CESC" "CTG_A" -19.0360480379073 0.752978728530413 -15.7230695898196
"CESC" "CTG_C" -19.1386692955674 0.940694544157499 -14.9412304020628
"CESC" "CTG_G" -18.9043825053589 0.66784785996403 -15.9845734078718
"CESC" "CTT_A" -17.9889154787743 0.594753292358772 -15.402789286741
"CESC" "CTT_C" -17.4582959332915 0.568562506582762 -14.9908644192426
"CESC" "CTT_G" -19.6538322359056 0.937790503438127 -15.470261437088
"CESC" "GCA_A" -15.5683598547409 0.260000698898782 -14.4655463876214
"CESC" "GCA_G" -18.2459262743572 0.68536066581624 -15.2456366482802
"CESC" "GCA_T" -17.5274867532646 0.918490415510518 -13.4359340750762
"CESC" "GCC_A" -17.6656754220275 0.655682237275742 -14.8016520826602
"CESC" "GCC_G" -18.7842417515058 0.779313125255892 -15.348642628754
"CESC" "GCC_T" -18.033268949576 1.00629741493996 -13.5209879112732
"CESC" "GCG_A" -16.5828893168855 0.542862807548442 -14.2314844115277
"CESC" "GCG_G" -19.0272223555586 0.802312213685942 -15.4841450013205
"CESC" "GCG_T" -14.9900354371655 0.85241395821485 -11.2115689534345
"CESC" "GCT_A" -18.2701738194575 0.792214702334344 -14.7743282524742
"CESC" "GCT_G" -18.5644727093759 0.812877992954508 -14.971898404983
"CESC" "GCT_T" -18.2417895883297 1.01572520725783 -13.6840169196402
"CESC" "GTA_A" -18.2605062796527 0.634296558523292 -15.4943063152744
"CESC" "GTA_C" -16.5843936920975 0.590827027935695 -14.0160901160812
"CESC" "GTA_G" -16.8086520003368 0.249255986789678 -15.7522555407852
"CESC" "GTC_A" -19.0231606113434 0.805391368715902 -15.4656664041531
"CESC" "GTC_C" -17.9499439209295 0.764035075517879 -14.5855415176396
"CESC" "GTC_G" -18.2969920966827 0.506641020534601 -16.1083772145656
"CESC" "GTG_A" -17.523603058669 0.433528419048186 -15.6609543180112
"CESC" "GTG_C" -17.9806081174461 0.826036066606256 -14.3262857902167
"CESC" "GTG_G" -17.5769818208221 0.363443689321917 -16.0235412308803
"CESC" "GTT_A" -19.1333197741297 0.770126395105318 -15.7405505272348
"CESC" "GTT_C" -16.4881832613974 0.47010195290735 -14.4629110014721
"CESC" "GTT_G" -16.3660850553434 0.229737628340551 -15.3938208714693
"CESC" "TCA_A" -17.3952071669031 0.91373638247261 -13.3262809717953
"CESC" "TCA_G" -17.4787846708457 1.29886553546226 -11.5260200934261
"CESC" "TCA_T" -16.6632225070363 1.25566479689931 -10.9268893954145
"CESC" "TCC_A" -18.2162304276189 0.991692734723873 -13.7742989363378
"CESC" "TCC_G" -18.6839016045351 1.30320204643037 -12.709340705206
"CESC" "TCC_T" -17.6210222137715 1.20729929095593 -12.1254690287108
"CESC" "TCG_A" -17.4169317826268 0.867042132785748 -13.5694132038218
"CESC" "TCG_G" -17.9256862743515 1.18412396243021 -12.5449343840669
"CESC" "TCG_T" -14.6763849089551 0.941759859657961 -10.4738571915659
"CESC" "TCT_A" -17.8887740069371 0.933549635201485 -13.7254447539743
"CESC" "TCT_G" -17.2628839486366 1.24621305561615 -11.5737318046594
"CESC" "TCT_T" -16.6283063572007 1.11313778875866 -11.5968732215261
"CESC" "TTA_A" -19.6067034517698 0.86592313683616 -15.7644722910951
"CESC" "TTA_C" -19.8696504844021 1.07648457467123 -15.0172149233269
"CESC" "TTA_G" -17.971120280698 0.431185891316651 -16.1188578978743
"CESC" "TTC_A" -17.6279024388655 0.369159253216968 -16.0493638302161
"CESC" "TTC_C" -17.3032504999796 0.557145583302695 -14.8874170478624
"CESC" "TTC_G" -17.2988560452254 0.270862633955131 -16.149044852305
"CESC" "TTG_A" -16.3541342767377 0.150119465800854 -15.7225705673383
"CESC" "TTG_C" -16.5864642796118 0.436049608493218 -14.712633045842
"CESC" "TTG_G" -16.6285394724366 0.273634395250423 -15.4667233672508
"CESC" "TTT_A" -16.9269289213909 0.267038882267622 -15.793670972543
"CESC" "TTT_C" -17.5438743633501 0.505032280802573 -15.3624695411303
"CESC" "TTT_G" -18.9617465130736 0.734123979837692 -15.7362709225952
