"cancer" "samples" "ntotal"
"BLCA" 503 85
"BLCA" 503 246
"BLCA" 503 258
"BLCA" 503 223
"BLCA" 503 179
"BLCA" 503 180
"BLCA" 503 154
"BLCA" 503 159
"BLCA" 503 194
"BLCA" 503 96
"BLCA" 503 489
"BLCA" 503 152
"BLCA" 503 87
"BLCA" 503 343
"BLCA" 503 47
"BLCA" 503 100
"BLCA" 503 47
"BLCA" 503 152
"BLCA" 503 440
"BLCA" 503 165
"BLCA" 503 31
"BLCA" 503 563
"BLCA" 503 136
"BLCA" 503 94
"BLCA" 503 156
"BLCA" 503 142
"BLCA" 503 186
"BLCA" 503 234
"BLCA" 503 71
"BLCA" 503 63
"BLCA" 503 121
"BLCA" 503 359
"BLCA" 503 184
"BLCA" 503 144
"BLCA" 503 312
"BLCA" 503 230
"BLCA" 503 53
"BLCA" 503 79
"BLCA" 503 323
"BLCA" 503 281
"BLCA" 503 113
"BLCA" 503 201
"BLCA" 503 56
"BLCA" 503 40
"BLCA" 503 143
"BLCA" 503 30
"BLCA" 503 226
"BLCA" 503 188
"BLCA" 503 107
"BLCA" 503 63
"BLCA" 503 156
"BLCA" 503 204
"BLCA" 503 364
"BLCA" 503 42
"BLCA" 503 36
"BLCA" 503 35
"BLCA" 503 72
"BLCA" 503 298
"BLCA" 503 149
"BLCA" 503 504
"BLCA" 503 48
"BLCA" 503 258
"BLCA" 503 24
"BLCA" 503 468
"BLCA" 503 203
"BLCA" 503 477
"BLCA" 503 16
"BLCA" 503 48
"BLCA" 503 34
"BLCA" 503 32
"BLCA" 503 315
"BLCA" 503 132
"BLCA" 503 68
"BLCA" 503 69
"BLCA" 503 17
"BLCA" 503 209
"BLCA" 503 81
"BLCA" 503 203
"BLCA" 503 291
"BLCA" 503 53
"BLCA" 503 296
"BLCA" 503 96
"BLCA" 503 35
"BLCA" 503 205
"BLCA" 503 96
"BLCA" 503 1
"BLCA" 503 65
"BLCA" 503 76
"BLCA" 503 210
"BLCA" 503 96
"BLCA" 503 133
"BLCA" 503 67
"BLCA" 503 100
"BLCA" 503 58
"BLCA" 503 169
"BLCA" 503 62
"BLCA" 503 473
"BLCA" 503 130
"BLCA" 503 119
"BLCA" 503 39
"BLCA" 503 162
"BLCA" 503 162
"BLCA" 503 223
"BLCA" 503 58
"BLCA" 503 120
"BLCA" 503 94
"BLCA" 503 40
"BLCA" 503 76
"BLCA" 503 39
"BLCA" 503 439
"BLCA" 503 331
"BLCA" 503 422
"BLCA" 503 450
"BLCA" 503 80
"BLCA" 503 119
"BLCA" 503 125
"BLCA" 503 77
"BLCA" 503 151
