"cancer" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC"
"cancer" "ROLE" "type" "n" "n_uniq" "k" "pred_nmut" "pred_mut00" "pred_nmut00" "m00" "m1_pois" "m10_pois" "exc_pv" "m1_rate" "m10_rate" "m0_pois" "m1_rate0"
"BLCA" "no_all" "miss" 67603 66525 48288 -11.7743983274774 -12.0993085916629 -12.0993085916629 -120998.797252875 -53746.3246260873 -123857.059455361 0.498977095717998 -55898.4716234399 -123857.059455361 -53746.3246260873 -364.215700048383
"BLCA" "no_specific" "miss" 3719 3659 48288 -11.7351158667185 -12.1091515156364 -12.0660133764382 -13149.8813183704 -9498.9940022364 -13236.9822130076 6.62367792805455e-36 -9610.3546161853 -13236.9822130076 -9499.47494758768 -280.880892227971
"BLCA" "Act" "miss" 629 394 48288 -11.7332331856166 -12.1018620599697 -12.0674442843708 -3401.44244214753 -2757.13699901058 -3403.83482741225 4.41141470781621e-146 -2778.76183965916 -3403.83482741225 -2757.13857513362 -239.953986424031
"BLCA" "LoF" "miss" 1148 970 48288 -11.7491134622919 -12.1657929588389 -12.0797940578884 -5340.1259761267 -4285.57744917229 -5389.11516872535 1.19416614892908e-125 -4317.50755388445 -5389.11516872535 -4286.79011193482 -257.170968578587
"S" "no" "miss" 5977 5973 19008 -13.9834882955009 -14.1258097808097 -14.1208945790984 -13744.8990868011 -11339.9342759542 -14524.3585218317 0.510297697044268 -11397.2937042282 -14524.3585218317 -11339.9342874791 -271.038119842508
"S" "no_all" "miss" 5684 5680 19008 -13.9817855023604 -14.1191882922931 -14.1191882922931 -13292.3387949767 -10958.1625722366 -14022.9068325447 0.496472378308616 -11015.7624636581 -14022.9068325447 -10958.1625722366 -265.730488290629
"S" "no_specific" "miss" 293 293 19008 -14.0162238170741 -14.2542621382442 -14.1536972649891 -1502.89692139393 -1430.19684651203 -1549.80809444571 0.546263883703998 -1428.92620228178 -1549.80809444571 -1430.19715355231 -173.192648363481
"S" "Act" "miss" 5 5 19008 -13.9688338396243 -14.5043952064375 -14.1061348863804 -46.4168937980301 -44.9950834801375 -46.5898209903903 0.00170061800066569 -45.552010428223 -46.5898209903903 -45.1737811200889 -18.9096680253504
"S" "LoF" "miss" 63 55 19008 -14.2668232742235 -14.4261691460882 -14.4057357881018 -432.126929918588 -432.689937677065 -454.566335308972 7.26862798406743e-50 -431.911365151059 -454.566335308972 -432.821764665422 -112.860845309148
"ST" "no" "miss" 72844 71269 93120 -12.6346519757514 -12.9475009149253 -12.9440861588236 -129325.188849855 -82842.1952485476 -142366.110549665 0.0422574056899881 -84722.8753190617 -142366.110549665 -82842.3000737856 -384.436919878993
"ST" "no_all" "miss" 69178 67725 93120 -12.633239565469 -12.942568485493 -12.942568485493 -124798.023032672 -80353.4472770593 -137200.634601311 0.498988807211012 -82157.4006090984 -137200.634601311 -80353.4472770593 -379.309424506178
"ST" "no_specific" "miss" 3666 3544 93120 -12.665165936249 -13.0405766386757 -12.9768742407529 -14940.8512130475 -12894.3302954365 -15578.2543607001 5.1578643986259e-16 -12969.4800779869 -15578.2543607001 -12896.1275071171 -288.290383723941
"ST" "Act" "miss" 470 328 93120 -12.7507547247781 -13.1500326758251 -13.0717697348501 -2924.43937849494 -2701.80363162382 -2998.84431143676 7.71213485876444e-111 -2696.67496376392 -2998.84431143676 -2702.43756587968 -240.639133039959
