"cancer" "gene" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC" "n_max"
"cancer" "gene" "ROLE" "samples" "n" "n_uniq" "pred" "pred_mut" "pred_nmut" "df" "m0_pois" "m1_pois" "m2_pois" "m0_rate" "m1_rate" "m2_rate" "m0_rate0" "nmax"
"LUAD" "KRAS" "Act" 486 150 12 1.32843924657876 -12.6842984358429 -12.3079788679264 44225 -1009.5126745293 -1005.51512690149 -618.269469051546 -1002.40067800284 -990.23191728169 -611.15747255453 -410.511816594167 58
"LUAD" "LRP1B" "LoF" 486 210 209 34.4096433886924 -12.0074661258212 -12.2393596956159 46655 -1146.32343262166 -1145.63399934747 -1086.88473793526 -1145.18998189045 -1139.88230287796 -1085.75128730428 -144.591818069272 2
"LUAD" "TP53" "LoF" 486 156 106 3.41486736457072 -12.5409255254077 -12.0699047373213 46655 -1012.53979271606 -1012.50205962649 -915.792685356299 -1015.90283420842 -1015.42825236719 -919.155726917777 -168.46771204712 5
"LUSC" "CDH10" "Act" 480 96 91 6.38141766957549 -12.5051703308338 -12.3728039266698 46079 -662.725614058382 -660.748159952131 -595.072435127155 -661.532176661382 -661.450247713891 -593.878996925869 -125.377717327424 2
"LUSC" "FAM135B" "Act" 480 132 130 11.3888874389164 -12.379959006817 -12.3903815998592 46079 -845.394409679426 -842.58219613508 -784.094889975635 -845.164203512852 -844.715903868764 -783.864683938131 -133.390655104157 2
"LUSC" "LRP1B" "LoF" 480 197 196 37.0602881103788 -12.3884804337897 -12.4002988715979 46079 -1165.23113004032 -1154.28544327371 -1090.88106582772 -1165.26729466475 -1165.26219053895 -1090.91723079075 -161.641471126386 2
"LUSC" "NFE2L2" "Act" 480 69 32 4.76204699165693 -12.4824198255575 -12.4141997834961 46079 -498.550270384612 -497.150172149172 -394.345337720378 -497.529319645927 -492.840717430402 -393.32438710266 -133.049448939034 7
"LUSC" "PIK3CA" "Act" 480 57 25 8.26276328996108 -12.0645344291718 -12.4283882096862 46079 -386.895271630262 -379.584269480646 -285.311786547573 -387.063317235387 -372.741840084874 -285.479831450732 -122.047576662413 14
"LUSC" "TP53" "LoF" 480 276 146 3.53325854852736 -12.4858283645698 -12.2802852957685 46079 -1634.02577938075 -1633.18243767851 -1453.58740227379 -1636.65132010106 -1636.61504362594 -1456.21294323012 -272.860167720824 15
"OV" "TP53" "LoF" 190 112 68 0.389167187845543 -13.8854954488949 -13.4613246375056 18239 -678.012180121778 -677.677634216762 -588.824324023384 -672.769529033758 -672.415445567858 -583.581672791612 -145.469558876677 11
"PAAD" "KRAS" "Act" 802 698 16 0.218272458096848 -16.0250587267769 -14.1189749776365 72981 -4709.23990867869 -4683.60571236433 -2296.93213901075 -4580.48469061889 -4506.72239108034 -2168.17692367379 -2440.26646278198 273
"PAAD" "SMAD4" "LoF" 802 58 36 0.758088683795295 -14.8622306509118 -13.6787300698157 76991 -484.858432486546 -484.853907649236 -426.114148649932 -480.43972391376 -480.327152249501 -421.695439673525 -96.5731240681195 8
"PAAD" "TP53" "LoF" 802 359 150 0.731061259644241 -14.6839307574505 -13.0625771135528 76991 -2300.00401371988 -2287.22141378552 -2130.13514894313 -2259.56402716138 -2245.5320308488 -2089.6951598406 -273.992118989568 31
"PRAD" "SPOP" "Act" 967 82 30 0.534019435588197 -15.9190140714607 -14.3029635197691 92831 -690.91872493307 -651.576757533644 -510.249884683157 -684.498542434109 -633.481205705873 -503.829700034188 -213.473109329005 11
"PRAD" "TP53" "LoF" 967 68 41 0.64546021673554 -14.3334139950724 -14.0018472305902 92831 -513.328383742984 -513.233228397864 -448.534275321645 -514.714761482491 -514.647608720667 -449.920653433183 -99.3447774283694 6
"RCCC" "VHL" "LoF" 459 84 57 0.407860365479357 -14.4971192055299 -13.7851644999219 44063 -637.254563652394 -616.94165694361 -523.124823166844 -636.581861396344 -620.492809157632 -522.452120923663 -164.090726525809 4
"ST" "CDH1" "LoF" 970 55 42 5.96527467585821 -14.5717631805159 -12.66182077841 93119 -518.283292942571 -515.656174557288 -435.526252265648 -517.96897828138 -506.080228888557 -435.211937497239 -121.379663470331 5
"ST" "FAT4" "LoF" 970 114 105 30.3799087280992 -12.727456918392 -12.9074556718345 93119 -765.497483618115 -758.414465648548 -697.73501149835 -766.944237341598 -766.38835034261 -699.181765074931 -124.532575403549 3
"ST" "LRP1B" "LoF" 970 176 164 26.3307772518778 -13.1546926684436 -13.0860328928368 93119 -1147.9323945004 -1134.65839822954 -1069.04955788401 -1151.19227055509 -1150.73684104027 -1072.30943364151 -159.415396864411 4
"ST" "PIK3CA" "Act" 970 77 36 6.16695980212983 -13.3811142591575 -13.0573304054309 93119 -588.790931220749 -585.5454330575 -476.861749350727 -589.451183339891 -589.445678056578 -477.522001335276 -146.096548521861 12
"ST" "RHOA" "Act" 970 53 24 1.24130307467157 -13.8221929721949 -12.8066839119526 93119 -457.544518513039 -457.544229771469 -360.133873270368 -454.964140014919 -453.102842200213 -357.553494670316 -122.896553590825 13
"ST" "TP53" "LoF" 970 325 141 2.84005484369088 -12.9912235497783 -12.5317140943256 93119 -2016.80976825007 -2014.03567354357 -1829.83022997056 -2021.37914641115 -2020.89682822683 -1834.39961312036 -283.713177721345 29
"ST1" "ERBB3" "Act" 148 60 40 14.0921404872252 -9.76071068522582 -9.92664677877943 14207 -311.614789306703 -310.030017516446 -269.337938564252 -311.708630552536 -310.659455393653 -269.431779710645 -70.3933095395806 12
"ST1" "FAT1" "LoF" 148 65 61 47.7194005472869 -9.20821381169974 -9.83999601097605 14207 -305.686981483098 -305.538525731112 -277.635223026682 -309.242633010828 -307.004157159073 -281.190874894068 -58.9931659256315 3
